#SampleID	chlA	pH	DOC	TP	TN
BA	4.4	7	6.5	22.8	840
BC	5.9	7.8	5	16.5	333
BE	12.8	5.2	9.4	21.5	531
BO	20.7	5.4	19.5	48.7	1389
BR	40.2	8.3	6.6	86.9	1187
CB	16.7	4.1	18.2	33	990
CH	10	7.9	5.5	18.8	508
CO	6.7	7.9	4.6	18.2	508
CR	4	5.9	4.5	11.1	1111
DI	4.7	7.8	4.9	16.7	878
DO	3.1	7.8	4.7	15.8	661
FO	6.3	5.5	11.1	52.6	696
GA	7.4	7.9	8.8	22.4	493
GV	4.6	8.3	5.6	16	404
HB	13.8	5.3	23	30.7	1678
HU	4.1	8.3	7.7	16.4	475
JU	20.1	7.6	6	22.5	727
LW	40.3	8	12.6	31.67	1997
MA	12.3	7.9	6	16.5	568
MO	7.2	7.8	22.6	36.2	1450
NC	6	8.2	11.6	18.9	757
NG	32.3	4.7	23.4	17.6	2239
PA	4.3	7.2	5.1	40.9	1024
PE	3.4	7.7	6.4	12	1252
PL	17.6	8	22.1	39.7	2505
RO	11.7	7.9	5.3	18.7	523
SN	12	7.4	4.5	15.3	813
ST	4.1	8	8.7	17.5	514
TR	8.5	4.4	40.5	22.7	1126
TU	7	6.7	13.4	15.3	1122
UF	16.4	8.1	11.6	26.5	756
WL	8.1	6	7.4	22.1	803
